0x0 0x1 0x2 0x3 0x4 1x0 1x1 1x2 1x3 1x4 2x0 2x1 2x2 2x3 2x4 3x0 3x1 3x2 3x3 3x4 4x0 4x1 4x2 4x3 4x4 
1 1 1 1 1 1 1 1 1 1 1 1 4 1 31 1 1 0 0 0 1 1 0 1 1 
1 1 1 1 1 1 1 0 1 31 1 1 4 0 0 1 1 0 1 1 1 1 0 1 1 
1 1 1 1 1 1 0 1 31 1 1 0 4 0 0 1 0 1 1 0 1 0 1 1 1 
1 1 1 1 1 0 1 31 1 1 0 0 4 0 1 0 1 1 0 0 0 1 1 1 1 
1 1 1 1 1 0 1 30 1 1 0 0 4 0 1 0 1 1 0 0 0 1 1 1 1 
1 1 1 1 1 1 30 1 1 1 0 0 4 1 1 1 1 0 0 31 1 1 1 1 1 
1 30 1 1 1 0 0 0 1 1 1 1 4 0 31 1 1 1 1 1 0 0 31 1 1 
30 1 1 1 1 0 0 1 1 1 1 0 4 31 1 1 1 1 1 1 0 31 1 1 1 
30 1 1 1 1 0 0 1 1 1 1 0 4 30 1 1 1 1 1 1 0 31 1 1 1 
1 30 1 1 1 0 0 0 1 1 1 1 4 0 30 1 1 1 1 1 0 0 31 1 1 
1 1 1 1 1 1 30 1 1 1 0 0 4 1 1 1 1 0 0 30 1 1 1 1 1 
1 1 1 1 1 0 1 30 1 1 0 0 4 0 1 0 1 1 0 0 0 1 1 1 1 
1 1 1 1 1 1 0 1 30 1 1 0 4 0 0 1 0 1 1 0 1 0 1 1 1 
1 1 1 1 1 1 1 0 1 30 1 1 4 0 0 1 1 0 1 1 1 1 0 1 1 
1 1 0 1 30 1 1 0 0 0 1 1 4 1 1 1 1 0 1 1 1 1 0 0 0 
1 1 0 0 0 1 1 0 1 1 1 1 4 1 1 1 1 0 0 0 1 1 31 1 0 
1 1 0 1 1 1 1 0 1 1 1 1 4 0 0 1 1 31 1 0 1 1 21 0 0 
1 1 0 1 1 1 1 0 1 1 1 1 4 0 0 1 1 30 1 0 1 1 21 0 0 
1 0 1 1 0 1 0 1 1 1 1 0 4 0 31 1 30 1 0 1 1 21 0 0 0 
0 1 1 0 0 0 1 1 1 1 0 0 4 31 1 30 1 0 1 1 21 0 0 0 1 
0 1 1 0 0 0 1 1 1 1 0 0 4 30 1 30 1 0 1 1 21 0 0 0 1 
0 1 1 1 1 0 0 0 30 1 30 1 4 1 1 21 0 0 0 1 1 1 1 1 1 
0 0 0 30 1 30 1 0 1 1 21 0 4 0 1 1 1 1 1 1 1 1 1 1 1 
1 0 0 0 30 1 30 1 0 1 1 21 4 0 0 1 1 1 1 1 1 1 1 1 1 
